word_shown	valid	dummy	response	correct	response_time
platery	false	true	no	yes	11152
denial	true	true	yes	yes	1424
generic	true	true	yes	yes	1279
mensible	false	false	no	yes	2671
scornful	true	false	yes	yes	3399
stoutly	true	false	yes	yes	2799
ablaze	true	false	no	no	4200
kermshaw	false	false	no	yes	5512
moonlit	true	false	yes	yes	2992
lofty	true	false	yes	yes	1168
hurricane	true	false	yes	yes	1000
flaw	true	false	yes	yes	856
alberation	false	false	no	yes	9423
unkempt	true	false	no	no	2463
breeding	true	false	yes	yes	1735
festivity	true	false	yes	yes	3487
screech	true	false	yes	yes	1839
savoury	true	false	yes	yes	1199
plaudate	false	false	no	yes	2936
shin	true	false	yes	yes	2712
fluid	true	false	yes	yes	1608
spaunch	false	false	no	yes	3024
allied	true	false	no	no	3960
slain	true	false	yes	yes	2856
recipient	true	false	yes	yes	2112
exprate	false	false	yes	no	6440
eloquence	true	false	yes	yes	2311
cleanliness	true	false	yes	yes	1855
dispatch	true	false	yes	yes	1455
rebondicate	false	false	no	yes	5439
ingenious	true	false	yes	yes	2871
bewitch	true	false	yes	yes	2496
skave	false	false	yes	no	3295
plaintively	true	false	no	no	5344
kilp	false	false	no	yes	5216
interfate	false	false	no	yes	8760
hasty	true	false	yes	yes	1719
lengthy	true	false	yes	yes	8807
fray	true	false	yes	yes	1679
crumper	false	false	no	yes	6127
upkeep	true	false	yes	yes	1680
majestic	true	false	yes	yes	1632
magrity	false	false	no	yes	4984
nourishment	true	false	yes	yes	1792
abergy	false	false	no	yes	7184
proom	false	false	no	yes	3903
turmoil	true	false	yes	yes	1711
carbohydrate	true	false	yes	yes	1775
scholar	true	false	yes	yes	1591
turtle	true	false	yes	yes	1119
fellick	false	false	no	yes	5999
destription	false	false	no	yes	5143
cylinder	true	false	yes	yes	1464
censorship	true	false	yes	yes	1496
celestial	true	false	yes	yes	1704
rascal	true	false	no	no	4056
purrage	false	false	no	yes	2648
pulsh	false	false	yes	no	3536
muddy	true	false	yes	yes	1384
quirty	false	false	no	yes	6440
pudour	false	false	no	yes	4679
listless	true	false	no	no	3191
wrought	true	false	no	no	11663
